10 NAT2 00232+2.3.1.5 0.448149231 3.766170637
10 NAT2 00633+2.3.1.5 0.448149231 3.766170637
10 NAT2 00983+2.3.1.5 0.448149231 3.766170637
100 ADA  1.976790566 2.200121759
1006 CDH8  0 0.143535956
10060 ABCC9  3.395716609 2.386769266
10061 ABCF2  3.047951606 2.674526348
10062 NR1H3  2.413895774 2.991105021
10063 COX17  3.921449932 4.239545369
100652824 KIAA2012  0 0.269031705
100653515 CEP295NL  0 0
10066 SCAMP2  4.715632758 5.179824599
10067 SCAMP3  3.957209827 4.000693736
10068 IL18BP  0.353511395 2.64756439
10069 RWDD2B  1.936844754 2.002216907
1007 CDH9  0 0.208251188
10071 MUC12  0.132214463 2.033001922
10072 DPP3  3.253398619 2.274255561
10073 SNUPN  2.475208651 2.669191799
10075 HUWE1  3.989121107 4.078129928
10076 PTPRU  1.042955075 0.571963007
10077 TSPAN32  0 0.208251188
10078 TSSC4  2.532978449 2.46191161
10079 ATP9A  3.553195379 3.301820396
1008 CDH10  0 0.143535956
10081 PDCD7  2.911612772 2.500636692
10082 GPC6  0 2.435235841
100820829 MYZAP  0 0.143535956
10083 USH1C  3.285646565 4.500464772
10084 PQBP1  3.638493767 3.614088718
10085 EDIL3  0 3.367786034
10087 COL4A3BP  3.067875959 3.321513952
10089 KCNK7  0 0.074341092
1009 CDH11  0 2.101349391
10090 UST  0 2.091866845
10092 ARPC5  4.924993307 5.200036362
10093 ARPC4  4.246191817 4.264808732
10094 ARPC3  5.920551686 5.308077123
10095 ARPC1B  4.578854903 4.869584001
10096 ACTR3  5.529038939 5.229401409
10097 ACTR2  4.268211445 4.355973116
10098 TSPAN5  3.112878078 1.728189277
10099 TSPAN3  4.983800105 5.604797689
101 ADAM8  1.656434496 1.462905526
1010 CDH12  0 0
10100 TSPAN2  1.265356278 2.428454209
10101 NUBP2  3.179742015 2.775644102
10102 TSFM  3.915833115 2.679832591
10103 TSPAN1  0.353511395 4.497890674
10105 PPIF  4.823512079 3.582404251
10106 CTDSP2  4.121318597 4.733337085
10107 TRIM10  0 0
10109 ARPC2  5.401109236 5.234349959
10110 SGK2  0.534599975 3.674596201
10111 RAD50  3.27501238 3.412011369
10112 KIF20A  4.242135629 0.963425172
10113 PREB  3.6495814 3.396624781
10114 HIPK3  3.532750997 4.762112049
10116 FEM1B  2.618984091 3.401779994
10117 ENAM  0 0.269031705
1012 CDH13  1.758892628 1.480618363
10120 ACTR1B  1.708975197 3.249323737
10121 ACTR1A  4.501960556 4.396717571
10123 ARL4C  3.119144764 2.35798154
10124 ARL4A  3.996942314 4.630459616
10125 RASGRP1  1.137927892 1.98115412
10126 DNAL4  0 0.074341092
10127 ZNF263  2.608629297 2.435235841
10128 LRPPRC  5.314565868 4.285207575
10129 FRY  2.401168824 2.32079084
1013 CDH15  0.132214463 0
10130 PDIA6  5.611923274 4.454881133
10131 TRAP1  4.849310569 3.346277383
10133 OPTN  3.390967686 4.436780399
10134 BCAP31  4.09811971 3.80642402
10135 NAMPT  4.150694296 4.542418722
10135 NAMPT 00760+6.3.4.21 4.150694296 4.542418722
10136 CELA3A  0 0
10137 RBM12  0.687869026 0.380519845
10138 YAF2  3.047951606 3.083606818
10139 ARFRP1  2.498718545 2.519451013
1014 CDH16  0.756509028 1.480618363
10140 TOB1  4.676921968 4.641683434
10142 AKAP9  3.371743209 4.270217322
10143 CLEC3A  0.353511395 0.074341092
10144 FAM13A  2.293064263 4.528350972
10146 G3BP1  5.455106826 4.348020453
10147 SUGP2  2.361986271 2.669191799
10148 EBI3  1.09156854 2.174136756
10149 ADGRG2  0.132214463 0.480815757
1015 CDH17  5.110036055 6.50223084
10150 MBNL2  3.258846013 4.404293668
10152 ABI2  3.723932321 2.876204785
10153 CEBPZ  4.528254479 3.742680861
10154 PLXNC1  2.475208651 2.282163385
10155 TRIM28  4.901097915 3.814964398
10156 RASA4  0 0.326328672
10157 AASS  2.307233928 2.726362781
10158 PDZK1IP1  0.991857044 2.379649655
10159 ATP6AP2  4.427137978 4.195192591
1016 CDH18  0.24897202 0.143535956
10160 FARP1  4.109786425 2.770823833
10161 LPAR6  0.132214463 3.025399621
10162 LPCAT3  4.39102518 5.389149337
10163 WASF2  3.477552741 4.342014175
10164 CHST4  0 0
10165 SLC25A13  4.05250171 3.354397437
10166 SLC25A15  2.234288181 3.399205709
10168 ZNF197  2.219038051 2.573858996
10169 SERF2  5.195832716 5.523166978
1017 CDK2  4.179231632 2.266284705
10170 DHRS9  0 0.838095947
10171 RCL1  2.911612772 2.110742862
10172 ZNF256  0.534599975 1.686200232
10174 SORBS3  4.035156273 4.556291312
10175 CNIH1  4.822375165 4.553044444
10178 TENM1  0 0.074341092
10179 RBM7  3.754179156 3.252313654
10180 RBM6  3.179742015 3.91982174
10181 RBM5  3.747536257 4.174039164
10184 LHFPL2  2.919271274 3.930485133
10186 LHFPL6  0.132214463 3.010302585
10188 TNK2  0.132214463 0.480815757
10188 TNK2 04150+2.7.11.1 0.132214463 0.480815757
10188 TNK2 04151+2.7.11.1 0.132214463 0.480815757
10188 TNK2 04660+2.7.10.2 0.132214463 0.480815757
10188 TNK2 04714+2.7.11.1 0.132214463 0.480815757
10188 TNK2 04926+2.7.11.1 0.132214463 0.480815757
10188 TNK2 05165+2.7.11.1 0.132214463 0.480815757
10189 ALYREF  5.706008367 3.840156436
1019 CDK4  5.002974779 3.466485983
10190 TXNDC9  4.586084814 3.640759279
10193 RNF41  2.806315879 2.500636692
10194 TSHZ1  0.687869026 3.848414698
10195 ALG3  4.285873699 3.567267443
10195 ALG3 00510+2.4.1.258 4.285873699 3.567267443
10195 ALG3 00513+2.4.1.258 4.285873699 3.567267443
10196 PRMT3  3.22007599 2.500636692
10197 PSME3  4.588962206 3.666736961
10198 MPHOSPH9  2.941901028 2.32079084
10199 MPHOSPH10  3.978596757 3.313121301
102 ADAM10  3.581133001 3.454363379
1020 CDK5  3.054637263 2.328340455
10200 MPHOSPH6  3.6044736 2.845291474
10201 NME6  2.744662795 2.208635513
10201 NME6 00230+2.7.4.6 2.744662795 2.208635513
10201 NME6 00240+2.7.4.6 2.744662795 2.208635513
10201 NME6 00983+2.7.4.6 2.744662795 2.208635513
10202 DHRS2  1.137927892 0.074341092
10203 CALCRL  0.132214463 3.478463387
10204 NUTF2  5.747900283 4.299976434
10205 MPZL2  4.009843239 2.631031235
10206 TRIM13  2.856295265 2.658436562
10207 PATJ  2.413895774 3.845119573
10208 USPL1  2.744662795 2.407828926
10209 EIF1  6.269831448 6.07842044
1021 CDK6  4.40666205 3.45923007
10210 TOPORS  2.544142459 2.736415253
10211 FLOT1  3.149902323 3.672637174
10212 DDX39A  3.830631367 2.951567571
10213 PSMD14  4.46849527 3.332595696
10214 SSX3  0 0
10215 OLIG2  0 0
10216 PRG4  0 0.074341092
10217 CTDSPL  2.73553652 2.625458877
10218 ANGPTL7  0 0.380519845
10219 KLRG1  0.820738686 1.807221716
1022 CDK7  4.466873406 2.836280687
10220 GDF11  1.304462734 1.150849339
10221 TRIB1  3.581133001 4.00632789
10223 GPA33  0 5.38065659
10224 ZNF443  1.782947003 1.627323091
10225 CD96  0 2.9833216
10226 PLIN3  3.352141895 4.546518911
10227 MFSD10  2.33498478 3.261230138
10228 STX6  2.856295265 2.679832591
10229 COQ7  2.388277809 2.653015251
10231 RCAN2  0.132214463 2.979407052
10232 MSLN  0 0.902722703
10233 LRRC23  2.848136915 1.349486137
10234 LRRC17  0 0.992448294
10235 RASGRP2  0.687869026 1.832236244
10236 HNRNPR  4.567177208 3.789121284
10237 SLC35B1  5.011484869 4.243985097
10238 DCAF7  3.978596757 4.10393922
10239 AP3S2  0 0
1024 CDK8  3.149902323 3.531783675
10240 MRPS31  3.786747423 3.249323737
10241 CALCOCO2  4.996305384 4.764089041
10242 KCNMB2  0 0.655491988
10243 GPHN  2.361986271 3.877592188
10243 GPHN 00790+2.10.1.1 2.361986271 3.877592188
10244 RABEPK  2.717030236 1.903731237
10245 TIMM17B  4.376917451 3.674596201
10246 SLC17A2  0 0
10247 RIDA  4.141747181 3.264184719
10248 POP7  3.818288369 2.770823833
10249 GLYAT  0 0
1025 CDK9  2.388277809 3.03286352
10250 SRRM1  3.978596757 4.241767697
10252 SPRY1  1.829386548 2.854221791
10253 SPRY2  3.327087281 3.412011369
10254 STAM2  2.744662795 3.456799685
10256 CNKSR1  1.758892628 2.775644102
10257 ABCC4  3.664176232 2.487894233
1026 CDKN1A  1.895236641 6.581222554
10260 DENND4A  1.656434496 2.506947545
10261 IGSF6  0 2.602853643
10262 SF3B4  4.830306549 3.883962065
10263 CDK2AP2  4.355375513 4.106483888
10265 IRX5  1.683049873 0.074341092
10266 RAMP2  3.592871397 3.203367891
10267 RAMP1  0.448149231 2.741403847
10268 RAMP3  0 2.428454209
10269 ZMPSTE24 00900+3.4.24.84 3.674984247 3.264184719
1027 CDKN1B  4.150694296 4.00632789
10270 AKAP8  3.27501238 3.108044451
10272 FSTL3  2.856295265 2.421626273
10273 STUB1  3.446518372 3.628538115
10274 STAG1  2.438873818 3.206498199
10276 NET1  4.452157026 5.055556392
10277 UBE4B  3.054637263 3.454363379
10278 EFS  0 1.198525417
10279 PRSS16  2.475208651 2.642083654
1028 CDKN1C  1.342097258 2.614220134
10280 SIGMAR1  4.148465011 3.893441443
10282 BET1  3.381401645 3.87278801
10283 CWC27  3.528611481 3.212729569
10284 SAP18  5.403656888 4.867211461
10285 SMNDC1  4.266229576 3.670674302
10286 BCAS2  3.428342207 3.709217859
10287 RGS19  2.438873818 1.991740968
10288 LILRB2  0 1.266030907
10289 EIF1B  4.774612513 4.65792046
1029 CDKN2A  4.301315801 1.020652778
10290 SPEG  1.60097944 2.721298394
10290 SPEG 04150+2.7.11.1 1.60097944 2.721298394
10290 SPEG 04151+2.7.11.1 1.60097944 2.721298394
10290 SPEG 04714+2.7.11.1 1.60097944 2.721298394
10290 SPEG 04926+2.7.11.1 1.60097944 2.721298394
10290 SPEG 05165+2.7.11.1 1.60097944 2.721298394
10291 SF3A1  4.63253446 4.696691748
10293 TRAIP  2.659363242 1.048083542
10294 DNAJA2  4.489343575 4.588977667
10295 BCKDK  3.619736733 3.720497071
10296 MAEA  3.520280685 3.861487683
10297 APC2  0.353511395 0.143535956
10298 PAK4  3.703247241 3.662784056
10298 PAK4 04150+2.7.11.1 3.703247241 3.662784056
10298 PAK4 04151+2.7.11.1 3.703247241 3.662784056
10298 PAK4 04714+2.7.11.1 3.703247241 3.662784056
10298 PAK4 04926+2.7.11.1 3.703247241 3.662784056
10298 PAK4 05165+2.7.11.1 3.703247241 3.662784056
10299 MARCH6  3.703247241 4.902794979
103 ADAR  4.059844345 4.664487632
1030 CDKN2B  0.820738686 4.222718599
10300 KATNB1  2.293064263 2.147458478
10302 SNAPC5  3.347180939 3.017879593
10307 APBB3  1.60097944 2.343270818
10308 ZNF267  3.473177793 2.910402332
10309 CCNO  0.448149231 0.61459938
1031 CDKN2C  0.448149231 2.156430551
10311 VPS26C  2.903895165 3.716751451
10312 TCIRG1  0.132214463 3.767954894
10313 RTN3  4.879844812 4.334960948
10314 LANCL1  2.717030236 2.804087739
10316 NMUR1  0 1.515129711
10317 B3GALT5  0 3.96180958
10318 TNIP1  3.202988809 4.425760575
10319 LAMC3  0.24897202 0.431924683
1032 CDKN2D  0.448149231 1.048083542
10320 IKZF1  0 2.871846676
10321 CRISP3  0 0
10322 SMYD5  3.419128714 1.959638129
10324 KLHL41  0 0.074341092
10325 RRAGB  2.375218443 2.500636692
10327 AKR1A1  3.494863609 4.860657802
10328 EMC8  4.380463086 3.017879593
10329 RXYLT1  2.155599698 2.506947545
1033 CDKN3 04658+3.1.3.16 4.40147688 2.062867456
1033 CDKN3 04660+3.1.3.16 4.40147688 2.062867456
10330 CNPY2  4.715632758 4.217046162
10331 B3GNT3  1.447182629 4.959062886
10332 CLEC4M  0 0
10335 MRVI1  0 3.401779994
10336 PCGF3  2.463243134 3.171513774
10342 TFG  5.104903779 5.092258508
10343 PKDREJ  0 0
10344 CCL26  0.132214463 0
10345 TRDN  0 0
10346 TRIM22  0.353511395 3.261230138
10347 ABCA7  1.782947003 1.768486059
10349 ABCA10  0 1.407802965
10350 ABCA9  0 1.580772539
10351 ABCA8  0.24897202 3.24331695
10352 WARS2 00970+6.1.1.2 2.771552284 2.951567571
1036 CDO1 00270+1.13.11.20 0 0.933534465
1036 CDO1 00430+1.13.11.20 0 0.933534465
10360 NPM3  3.812059264 1.91516546
10361 NPM2  1.18223294 0.431924683
10362 HMG20B  2.587592383 3.197077726
10363 HMG20A  2.771552284 2.695584446
10365 KLF2  0.938006738 3.98503411
10367 MICU1  4.430510239 4.146341823
10368 CACNG3  0 0
10369 CACNG2  0 0
10370 CITED2  4.705455518 4.899925467
10371 SEMA3A  3.357078361 1.959638129
10376 TUBA1B  8.352693983 6.441866356
10379 IRF9  2.814821177 3.885548215
1038 CDR1  0 0
10380 BPNT1  3.477552741 4.386205821
10381 TUBB3  2.934414533 1.548489651
10382 TUBB4A  1.708975197 1.329266151
10383 TUBB4B  6.422372883 5.721792823
10384 BTN3A3  0 2.822610414
10385 BTN2A2  1.265356278 1.564761363
10388 SYCP2  3.524454758 0.208251188
10389 SCML2  2.762669218 1.100785961
1039 CDR2  2.992793538 3.511256459
10390 CEPT1  2.999856987 3.952959413
10391 CORO2B  0.132214463 1.287556692
103910 MYL12B  6.296752576 5.965840494
10392 NOD1  1.629091327 1.657194914
10393 ANAPC10  3.727338615 3.118337631
10394 PRG3  0 0
10395 DLC1  3.703247241 3.916754054
10396 ATP8A1  2.33498478 3.796078345
10397 NDRG1  3.013835948 6.131295818
10398 MYL9  6.445304593 7.205573792
10399 RACK1  7.63310902 6.836949879
104 ADARB1  2.451132707 1.819807194
1040 CDS1  1.957017105 4.220453484
1040 CDS1 00564+2.7.7.41 1.957017105 4.220453484
1040 CDS1 04070+2.7.7.41 1.957017105 4.220453484
10400 PEMT  2.992793538 3.080066461
10400 PEMT 00564+2.1.1.17 2.992793538 3.080066461
10400 PEMT 00564+2.1.1.71 2.992793538 3.080066461
10401 PIAS3  2.848136915 2.669191799
10402 ST3GAL6  3.596753774 0.992448294
10403 NDC80  3.821388431 1.329266151
10404 CPQ  2.831617782 3.595198757
10406 WFDC2  2.070186407 2.705949504
10409 BASP1  4.903198592 3.072947922
1041 CDSN  0 0
10410 IFITM3  1.09156854 5.606500321
10411 RAPGEF3  0.24897202 1.531948785
10412 NSA2  4.735681684 3.740850892
10413 YAP1  4.486164298 3.930485133
10417 SPON2  0.132214463 3.313121301
10418 SPON1  3.824478912 4.257187223
10419 PRMT5  3.581133001 2.46191161
10420 TESK2  2.780357135 3.404347668
10421 CD2BP2  2.985679842 3.006492443
10422 UBAC1  3.524454758 3.471294173
10423 CDIPT  3.381401645 4.105212363
10423 CDIPT 00562+2.7.8.11 3.381401645 4.105212363
10423 CDIPT 00564+2.7.8.11 3.381401645 4.105212363
10423 CDIPT 04070+2.7.8.11 3.381401645 4.105212363
10424 PGRMC2  4.042626902 5.520080515
10425 ARIH2  3.642203321 3.456799685
10426 TUBGCP3  3.214412643 2.863073062
10427 SEC24B  3.612134286 4.101388061
10428 CFDP1  4.250231618 3.624430977
1043 CD52  0.132214463 3.586687301
10430 TMEM147  4.03265361 3.249323737
10432 RBM14  0 0.208251188
10434 LYPLA1  3.664176232 3.155197947
10435 CDC42EP2  3.6347704 3.652832888
10436 EMG1  0.687869026 0.074341092
10437 IFI30  4.601808982 4.991573809
10438 C1D  2.187821843 2.208635513
10439 OLFM1  0 2.02284519
1044 CDX1  0 5.041188739
10440 TIMM17A  3.893044942 3.131899105
10443 N4BP2L2  3.895922025 4.507296813
10444 ZER1  2.293064263 4.13158064
10445 MCRS1  4.196396692 3.51355818
10446 LRRN2  0 0.694777878
10447 FAM3C  3.231307364 5.069235442
10449 ACAA2  5.589463032 5.289175577
1045 CDX2  4.091053782 4.961767845
10450 PPIE  2.831617782 3.006492443
10451 VAV3  0 2.889166297
10452 TOMM40  2.587592383 1.174971477
10454 TAB1 04658+3.1.3.16 2.487032686 2.64756439
10454 TAB1 04660+3.1.3.16 2.487032686 2.64756439
10455 ECI2  3.285646565 4.259370731
10456 HAX1  4.519053011 4.369739884
10457 GPNMB  0.448149231 3.960339981
10458 BAIAP2  2.999856987 1.741802763
10459 MAD2L2  3.061278519 2.101349391
10460 TACC3  3.608311279 1.768486059
10461 MERTK  4.002122673 3.825117496
10462 CLEC10A  0 2.695584446
10463 SLC30A9  4.050042134 4.350014556
10464 PIBF1  2.978515178 3.378369327
10465 PPIH  3.536873448 2.705949504
10466 COG5  3.581133001 3.775060253
10467 ZNHIT1  4.141747181 4.219319
10468 FST  0 1.480618363
10469 TIMM44  4.168351896 3.197077726
1047 CLGN  0.132214463 0.992448294
10471 PFDN6  3.006870894 1.844512708
10472 ZBTB18  0 0.902722703
10473 HMGN4  3.553195379 3.983598273
10474 TADA3  3.890159557 3.714873367
10475 TRIM38  0.820738686 3.190747743
10476 ATP5PD  5.569724578 5.487722935
10477 UBE2E3  1.734245349 4.054317947
10478 SLC25A17  3.352141895 2.200121759
10479 SLC9A6  1.60097944 2.082293519
1048 CEACAM5  1.224658046 3.181177001
10480 EIF3M  5.701295988 4.58268318
10481 HOXB13  1.829386548 0
10482 NXF1  4.295552921 3.948504783
10483 SEC23B  4.312742876 3.716751451
10484 SEC23A  4.198521755 4.96823005
10485 C1orf61  1.447182629 0.143535956
10486 CAP2  1.708975197 2.494285759
10487 CAP1  4.353559228 5.048646052
10488 CREB3  3.332148674 2.804087739
10489 LRRC41  3.264263893 3.664762462
10490 VTI1B  4.05250171 4.21019649
10492 SYNCRIP  4.278062296 3.688202971
10493 VAT1  4.931134107 4.279879671
10494 STK25  3.013835948 3.686270446
10494 STK25 04150+2.7.11.1 3.013835948 3.686270446
10494 STK25 04151+2.7.11.1 3.013835948 3.686270446
10494 STK25 04714+2.7.11.1 3.013835948 3.686270446
10494 STK25 04926+2.7.11.1 3.013835948 3.686270446
10494 STK25 05165+2.7.11.1 3.013835948 3.686270446
10495 ENOX2  1.734245349 2.550042351
10497 UNC13B  2.321205614 3.158482478
10498 CARM1  3.446518372 2.910402332
10499 NCOA2  2.576905607 4.080741039
105 ADARB2  0 0.902722703
1050 CEBPA  3.437471586 3.969125354
10500 SEMA6C  1.18223294 2.266284705
10501 SEMA6B  0 2.191534898
10505 SEMA4F  1.18223294 1.266030907
10507 SEMA4D  1.304462734 2.619855294
10509 SEMA4B  2.015201814 3.905942431
1051 CEBPB  4.340752015 5.051119516
10512 SEMA3C  2.971298811 3.616165744
10513 APPBP2  2.659363242 3.335347049
10514 MYBBP1A  2.839911458 2.435235841
10516 FBLN5  1.758892628 3.688202971
10518 CIB2  0.353511395 4.227233495
10519 CIB1  3.520280685 4.768686878
1052 CEBPD  4.959302873 6.218014167
10520 ZNF211  1.873764832 2.274255561
10521 DDX17  5.270495682 5.621974157
10522 DEAF1  2.608629297 2.642083654
10523 CHERP  3.927035377 3.809848929
10524 KAT5  2.234288181 2.35065323
10525 HYOU1  4.225744321 3.853337117
10526 IPO8  2.598166158 3.087134685
10527 IPO7  5.309686363 4.371691184
10528 NOP56  3.75748413 2.64756439
10529 NEBL  2.544142459 1.100785961
1053 CEBPE  0 0
10531 PITRM1  4.383996194 3.913676928
10533 ATG7  2.348576658 3.051283117
10534 SSSCA1  4.177065134 3.043955942
10535 RNASEH2A  3.927035377 2.156430551
10536 P3H3  1.829386548 1.580772539
10537 UBD  2.139090722 1.596531393
10538 BATF  0 1.198525417
10539 GLRX3  4.953333148 3.313121301
1054 CEBPG  4.069551404 4.441336391
10540 DCTN2  4.238062921 4.531678879
10541 ANP32B  5.451475025 4.914191389
10542 LAMTOR5  4.057402785 4.287330813
10544 PROCR  2.203551749 3.412011369
10548 TM9SF1  3.337184579 3.632628454
10549 PRDX4 00480+1.11.1.15 5.561066864 3.94403022
10550 ARL6IP5  4.383996194 4.849235687
10551 AGR2  6.203473483 6.011685857
10552 ARPC1A  4.841529073 4.788155905
10553 HTATIP2  4.497247823 4.93826253
10554 AGPAT1 00561+2.3.1.51 3.32200014 4.384282666
10554 AGPAT1 00564+2.3.1.51 3.32200014 4.384282666
10555 AGPAT2  2.475208651 3.630585376
10555 AGPAT2 00561+2.3.1.51 2.475208651 3.630585376
10555 AGPAT2 00564+2.3.1.51 2.475208651 3.630585376
10556 RPP30  4.324040846 3.290390318
10557 RPP38  3.615942734 2.939394947
10558 SPTLC1  1.976790566 2.487894233
10559 SLC35A1  1.996180607 2.082293519
1056 CEL 00100+3.1.1.13 0 0
1056 CEL 00561+3.1.1.3 0 0
10560 SLC19A2  3.50340795 2.813391962
10561 IFI44  0 2.765980216
10562 OLFM4  0 7.254492299
10563 CXCL13  0 2.033001922
10564 ARFGEF2  4.132719293 4.027177681
10565 ARFGEF1  2.985679842 4.06231844
10566 AKAP3  0.24897202 0.431924683
10567 RABAC1  3.451011258 3.977834217
10568 SLC34A2  0.687869026 2.597121579
10569 SLU7  3.357078361 3.578102778
10570 DPYSL4  0 0.074341092
10572 SIVA1  3.767334017 3.03286352
10573 MRPL28  3.730733346 2.955592406
10574 CCT7  5.276292487 3.879188465
10575 CCT4  5.857127193 4.434952174
10576 CCT2  5.63943288 4.034032115
10577 NPC2  5.578842003 5.189336301
10578 GNLY  0 2.994974131
10579 TACC2  3.027622188 3.648824527
1058 CENPA  4.027629414 1.287556692
10580 SORBS1  3.22007599 4.32785762
